SOURCE_FILE,ROOT_PART_NUM,LATEST_PART_NUM,PART_DESC,PURCHASE_PRICE,MINIMUM_ORDER_QTY,LOC_CD,SLF_FACTOR,LEAD_TIME,ORDER_CYCLE,ALPHA_VAL,BETA_VAL,TRANS_COUNT_6_MONTH,STANDARD_DEVIATION,AVG_CONSUMPTION,WT_AVG_CONSUMPTION,MIN_ORDER_LEVEL,RE_ORDER_LEVEL,MAX_ORDER_LEVEL,OLD_MAX_LVL,STOCK_QTY,ON_ORDER_QTY,CUST_BACK_ORDER,OLD_CBO,SOQ_QTY,PARENT_GROUP,DEALER_MAP_CD,COMP_FA,PART_FAMILY_AGE,DEAD_STOCK_YN
SOQ_18-12-2025,76191M60M10-V6N,76191M60M10-V6N,TRIM  TAIL END (BEIGE),197.05,1,THN,1.64,4,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,76191M74L00-5PK,76191M74L00-5PK,TRIM COMP TAIL END,316.56,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,76250M69R00-6GS,76250M69R00-6GS,TRIM COMP QUARTER UPPER R,317.77,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,76251M53M00-P4Z,76251M53M00-P4Z,TRIM QTR INNER RH,332.72,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,76260M78L00-5PK,76260M78L00-5PK,TRIM  FR DR OPENING (BLACK),87.22,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,76270M74L00-5PK,76270M74L00-5PK,TRIM  QTR INNER LOWER RH,526.53,1,THN,1.64,4,3,,,0,,0,0,,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,76276M61M00-5PK,76276M61M00-5PK,CAP QUARTER LOWER TRIM L,15.89,1,THN,1.64,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71740M84P00-ES5,71740M84P00-ES5,GRILLE  RADIATOR UPPER,745.31,1,THN,1.64,4,3,0,0,1,0,0.33,0.2,0,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71741M65L00-5PK,71741M65L00-5PK,GRILLE FRONT BUMPER(BLACK),261.65,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71741M67L00-5PK,71741M67L00-5PK,GRILLE RADIATOR(BLACK),322.83,1,THN,1.64,4,3,,,0,,0,0,,0,0,0,2,0,0,0,0,AML,12658,AML,Old Part,N
